Name,Price
Hp Notebook 15 Intel Celeron 500 GB / 4 GB RAM WIN 10,"₦ 98,000"
Hp 240 G6 - Intel Core I5 8GB RAM - 1TB HDD - 14 Inch Windows 10 + Mouse + FLASH,"₦ 224,000"
"Hp 17- Intel Core I5- 2TB HDD/8GB RAM, 17.3” Touch Screen, Backlit, Windows 10+32GB FLASH","₦ 255,000"
3D Wireless Optical 2.4G Car Shaped Mouse Mice 1600DPI USB For Computer Green-,"₦ 3,360"
Asus Intel Celeron 128GB SSD 4GB RAM 11.6' Mini Laptop Wins 10,"₦ 150,000"
Hp Super_Slim PAV 15 INTEL COREi5 1TB 12GB TOUCHSCREEN WINDOWS 10 HOME + MOUSE + FLASH,"₦ 217,900"
"Hp 15 Intel Pentium Dual Core (4GB,1TB HDD + 16GB Flash And Wireless Mouse ) Windows 10 Laptop - Black","₦ 130,000"
Hp Stream 14 Intel Celeron D/C 64GB HDD- 4GB RAM WIN 10+ Flash,"₦ 170,000"
Hp Pavilion 11 X360 Intel® Pentium®+ 32GB Flash+ Mouse+ USB Light For Keyboard 4GB 500GB HDD WIN 10 HOME + Free 32gb Flash Drive,"₦ 133,000"
Hp ELITE DRAGONFLY CI7 16GB 1TB TOUCHSCREEN WIN 10 PRO 8TH GEN,"₦ 860,800"
"Asus VivoBook X541SA- Intel Pentium Quad Core- 500GB HDD- 4GB RAM+32GB Flash,Mouse, USB Light For Keyboard- Windows 10- Silver","₦ 125,000"
"Hp 250 G6 Core I3 ,500GB HDD 4GB RAM 15.6-Inch Windows 10","₦ 165,000"
"Hp Pavilion X360 -14-2020 Model-10th Gen Intel Core I3 Up To 4.1 GHz-8GB RAM- 1TB HDD,Win 10","₦ 305,000"
Hp EliteBook 840 G5 Core™ I5 256GB 8GB WIN10 Pro,"₦ 325,000"
Lenovo MINI INTEL CELERON 500GB HDD 4GB RAM 11.6 INCH Win 10 +32gb Flashdrive,"₦ 120,000"
"Hp 15 PC - Intel Celeron Quad Core - 500GB HDD - 4GB RAM+32GB Flash,Mouse,Fashion Sport Watch,Bag - Windows 10","₦ 98,000"
Hp Pavilion 15 Intel Core I5 1TB HDD 12GB RAM- Backlit Key - 2.5GHz - Up To 3.1GHz -Win- 10-Touch Screen+ 32GB FLASH DRIVE,"₦ 355,000"
"Hp Spectre 14 Core I7 11th Gen 1TB+32GB Optane 16GB ""13.5""","₦ 967,500"
"Msi GF63 Thin 10SCXR 15.6"" Gaming Laptop I5-10th Gen 8GB RAM 256GB SSD NVIDIA GeForce GTX 1650 4GB","₦ 415,000"
"Hp Notebook 15 Intel Core I3 (12GB RAM, 1TB HDD)-Windows 10","₦ 243,000"
"Hp Notebook 15 Intel Core I3-12GB RAM, 1TB HDD-WIN 10- 10TH GEN","₦ 243,000"
Lenovo YOGA 920 CORE I5 256GB 8GB 13’’ WIN 10,"₦ 495,000"
"Lenovo Intel Core 8th Gen(1TB,4GB) I3 2.0Ghz Windows 10 +32gb Flash","₦ 198,990"
"Hp Notebook 14, Intel Core I3-8130U 2.2 GHz, 8GB, 1TBHDD, WINDOW 10 HOME WITH MOUSE","₦ 188,000"
Hp Stream 14 Intel Celeron 64gb 4gbSSD WLAN& Bluetooth Wins 10,"₦ 171,500"
Hp Spectre X360 Gaming Edition 15-eb0065nr - 15.6'' UHD 4K OLED Touchscreen (400nits) - I7-10750H (6 Cores) - 16GB Ram - 1TB SSD + 32gb Optane Memory - 4gb Nvidia GeForce GTX 1650TI - Stylus Pen + Leather Sleeve,"₦ 899,000"
Lenovo Ideapad 330-Intel Celeron-N4000-Dual Core 4GB-1TB DVD-Win10,"₦ 190,000"
10.1inch Detachable 2GB+32GB Android Laptop Pc Touch Screen,"₦ 75,999"
"Diamond 15.6"" 4GB/500GB Core I3-5005U Windows10 Diamond Laptop","₦ 176,500"
"Hp ELITEBOOK 830 G5 INTEL CORE I5-8350U 1.7GHz 512GB SSD 8GB RAM 13.3""","₦ 330,000"
"Hp ENVY X360 CONVERTIBLE INTEL CORE I7 7200U 15.6"" 1TB HDD 12GB RAM Wind 10","₦ 355,000"
"Hp ENVY 13-X360 CORE I7-1165G7, 11TH GEN 8GB 512SSD TOUCH,BACKLIT, FINGERPRINT","₦ 558,500"
"DELL Vostro 3401 14'' FHD,10th Gen Core I3 8GB RAM 1TB / Win10 PRO","₦ 240,000"
10 Inch Tablet Computer System Call Durable Screen WiFi Tablet Android Tablet Screen Durable Tablet PC,"₦ 42,990"
"DELL Inspiron 15 Intel Core I3-8GB RAM/1TB HDD,15.6"" Win 10+32GB FLASH","₦ 193,000"
Hp 11 X360 Intel® Pentium® 4GB 500GB HDD WIN 10 HOME + Mouse,"₦ 132,000"
"Hp Probook 450 G4 - 15.6"" - Intel Core I5 - 1TB HDD- 8GB RAM - 2GB Nvidia Graphics","₦ 585,000"
Hp ProBook X360 11 Touch Screen Intel Pentium 128gb SSD 4gb Ram Win 10 Pro,"₦ 190,000"
"Hp ENVY 13 CORE I7 10TH GEN 16GB 512, 2GB NVIDIA GRAPHICS TOUCHSCREEN/BACKLIT KEYBOARD WIN 10","₦ 615,000"
"Hp Stream 11 Intel Celeron, 4GB RAM/32GB,11.6'' Win 10+32GB FLASH","₦ 103,000"
Hp Pavilion 15 - Intel Core I5 - 1TB HDD - 8GB RAM - TOUCHSCREEN- Window 10 -Ultra Slim Laptop- B&O Dual Speaker- HP External DVD - Free USB Light For Keyboard+ Mouse+32GB Flash,"₦ 345,000"
Hp NOTEBOOK 15 Intel Celeron 4GB 500GB HDD Winds 10+mouse,"₦ 96,000"
"Hp Notebook Intel® Core™ I5-1035G1, 8gb Ram ,1tb Hard Drive,14 Inch Display (14-Cf3016nia)","₦ 350,000"
"Hp Notebook 15 Intel Core I3 (4GB RAM, 500GB HDD BAG- 32GB Flash+ Mouse- USB Light For Keyboard)15.6-Inch Windows 10 Black","₦ 132,700"
"Hp ENVY 13-X360 CORE I7-1165G7,11TH GEN 8GB RAM 1TB SSD ,TOUCH,BACKLIT, FINGERPRINT","₦ 660,500"
Hp Probook 450-G3 W0S86UT#ABA Intel Core I5-6200U 2.3GHz 500gb 4gb Optical Drive 15 Inch Window 7/10Professal-BLACK,"₦ 250,000"
"Hp 15 Intel Core-i3 2.2GHz 8GB RAM 1TB HDD 15.6"" Touchscreen Windows 10","₦ 255,500"
Hp Pavilion 15 X360 Intel Core 13 8gb Ram 1tb Hdd Touchscreen Windows 10,"₦ 345,000"
Hp 250 -Intel Celeron 500GB HDD 4GB RAM Windows10 With Bag+Wireless Mouse+16gb Flash Drive,"₦ 105,000"
"DELL Precision 3541 Mobile Workstation Intel Core I5 9th Gen(256gb, 16gb, 4gb Nvidia Quadpro) Wins 10pro","₦ 388,000"
DELL INSPIRON 7300 2-IN-1 I5 10TH GEN 512GB +32GB OPTANE 8GB 13’’,"₦ 399,000"
